GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ventas,com.ventas.ventas,Cliente,37,57,0,0,15,26,11,16,11,16
ventas,com.ventas.ventas,Marca,0,17,0,0,0,7,0,5,0,5
ventas,com.ventas.ventas,Telefono,157,98,0,0,67,43,45,28,45,28
ventas,com.ventas.ventas,EnviarCorreo,41,0,0,0,17,0,11,0,11,0
ventas,com.ventas.ventas,restControler,65,8,2,0,13,2,5,1,4,1
ventas,com.ventas.ventas,Controlador,1276,218,22,8,277,50,63,10,51,7
ventas,com.ventas.ventas,Historial,31,0,0,0,13,0,9,0,9,0
ventas,com.ventas.ventas,VentasApplication,5,3,0,0,2,1,1,1,1,1
ventas,com.ventas.ventas,ImageUtil,4,3,0,0,1,1,1,1,1,1
ventas,com.ventas.ventas,Dao,1115,126,2,0,195,27,53,8,52,8
ventas,com.ventas.ventas,Usuarios,7,31,0,0,3,13,2,9,2,9
ventas,com.ventas.ventas,Fabrica,38,0,0,0,16,0,11,0,11,0
ventas,com.ventas.ventas,Correo,21,3,0,0,7,2,1,1,1,1
ventas,com.ventas.ventas,Pedido,135,15,0,0,57,7,39,4,39,4
ventas,com.ventas.ventas,Dispositivo,113,0,0,0,48,0,31,0,31,0
ventas,com.ventas.ventas,Numserie,45,0,0,0,19,0,13,0,13,0
ventas,com.ventas.ventas,Restservice,15,0,0,0,6,0,3,0,3,0
ventas,com.ventas.ventas,User,17,0,0,0,7,0,5,0,5,0
